Provider	Provider Country	SKU	Developer	Title	Version	Product Type Identifier	Units	Developer Proceeds	Begin Date	End Date	Customer Currency	Country Code	Currency of Proceeds	Apple Identifier	Customer Price	Promo Code	Parent Identifier	Subscription	Period	Category	CMB	Device	Supported Platforms	Proceeds Reason	Preserved Pricing	Client
APPLE	US	20150303	Rubicoin Ltd	Invest: buy stocks in great businesses	1.12	7	1	0	01/06/2017	01/06/2017	USD	LB	USD	973162352	0	 	 	 	 	Finance		iPhone	iOS	 	 	 
APPLE	US	20150303	Rubicoin Ltd	Invest: buy stocks in great businesses	1.12	7	1	0	01/06/2017	01/06/2017	EUR	NL	EUR	973162352	0	 	 	 	 	Finance		iPhone	iOS	 	 	 
APPLE	US	20150522	Rubicoin Ltd	Learn: how to invest in stocks	1.2.2	3F	1	0	01/06/2017	01/06/2017	GBP	GB	GBP	997762888	0	 	 	 	 	Finance		iPhone	iOS	 	 	 
APPLE	US	20150522	Rubicoin Ltd	Learn: how to invest in stocks	1.2.2	3F	1	0	01/06/2017	01/06/2017	EUR	BG	EUR	997762888	0	 	 	 	 	Finance		iPhone	iOS	 	 	 
APPLE	US	20150303	Rubicoin Ltd	Invest: buy stocks in great businesses	1.12	7	2	0	01/06/2017	01/06/2017	TRY	TR	TRY	973162352	0	 	 	 	 	Finance		iPhone	iOS	 	 	 
APPLE	US	20150303	Rubicoin Ltd	Invest: buy stocks in great businesses	1.11.1	3	1	0	01/06/2017	01/06/2017	EUR	IE	EUR	973162352	0	 	 	 	 	Finance		iPhone	iOS	 	 	 
APPLE	US	20150303	Rubicoin Ltd	Invest: buy stocks in great businesses	1.12	7	1	0	01/06/2017	01/06/2017	EUR	BE	EUR	973162352	0	 	 	 	 	Finance		iPad	iOS	 	 	 
APPLE	US	20150303	Rubicoin Ltd	Invest: buy stocks in great businesses	1.8	3	1	0	01/06/2017	01/06/2017	EUR	IE	EUR	973162352	0	 	 	 	 	Finance		iPhone	iOS	 	 	 
APPLE	US	20150303	Rubicoin Ltd	Invest: buy stocks in great businesses	1.12	7	1	0	01/06/2017	01/06/2017	USD	OM	USD	973162352	0	 	 	 	 	Finance		iPhone	iOS	 	 	 
APPLE	US	20150303	Rubicoin Ltd	Invest: buy stocks in great businesses	1.12	7	2	0	01/06/2017	01/06/2017	USD	KE	USD	973162352	0	 	 	 	 	Finance		iPhone	iOS	 	 	 
APPLE	US	20150303	Rubicoin Ltd	Invest: buy stocks in great businesses	1.12	7	7	0	01/06/2017	01/06/2017	EUR	IT	EUR	973162352	0	 	 	 	 	Finance		iPhone	iOS	 	 	 
APPLE	US	20150303	Rubicoin Ltd	Invest: buy stocks in great businesses	1.12	7	1	0	01/06/2017	01/06/2017	EUR	ES	EUR	973162352	0	 	 	 	 	Finance		iPhone	iOS	 	 	 
APPLE	US	20150303	Rubicoin Ltd	Invest: buy stocks in great businesses	1.12	7	1	0	01/06/2017	01/06/2017	NGN	NG	NGN	973162352	0	 	 	 	 	Finance		iPad	iOS	 	 	 
APPLE	US	20150303	Rubicoin Ltd	Invest: buy stocks in great businesses	1.12	7	7	0	01/06/2017	01/06/2017	EUR	FR	EUR	973162352	0	 	 	 	 	Finance		iPhone	iOS	 	 	 
APPLE	US	20150303	Rubicoin Ltd	Invest: buy stocks in great businesses	1.12	7	1	0	01/06/2017	01/06/2017	USD	BF	USD	973162352	0	 	 	 	 	Finance		iPhone	iOS	 	 	 
APPLE	US	20150522	Rubicoin Ltd	Learn: how to invest in stocks	1.2.2	1F	11	0	01/06/2017	01/06/2017	CAD	CA	CAD	997762888	0	 	 	 	 	Finance		iPad	iOS	 	 	 
APPLE	US	20150303	Rubicoin Ltd	Invest: buy stocks in great businesses	1.12	1	1	0	01/06/2017	01/06/2017	CAD	CA	CAD	973162352	0	 	 	 	 	Finance		iPad	iOS	 	 	 
APPLE	US	20150522	Rubicoin Ltd	Learn: how to invest in stocks	1.2.2	1F	1	0	01/06/2017	01/06/2017	USD	VE	USD	997762888	0	 	 	 	 	Finance		iPhone	iOS	 	 	 
APPLE	US	20150522	Rubicoin Ltd	Learn: how to invest in stocks	1.2.2	1F	1	0	01/06/2017	01/06/2017	MXN	MX	MXN	997762888	0	 	 	 	 	Finance		iPhone	iOS	 	 	 
APPLE	US	20150303	Rubicoin Ltd	Invest: buy stocks in great businesses	1.12	1	59	0	01/06/2017	01/06/2017	CAD	CA	CAD	973162352	0	 	 	 	 	Finance		iPhone	iOS	 	 	 
APPLE	US	com.rubicoin.invest.premium.monthly	 	Premium_200_30_active	 	IAY	1	6.99	01/06/2017	01/06/2017	CAD	CA	CAD	1147092422	9.99	 	20150303	Renewal	1 Month	Finance		iPhone	iOS	 	 	 
APPLE	US	20150522	Rubicoin Ltd	Learn: how to invest in stocks	1.2.2	1F	1	0	01/06/2017	01/06/2017	USD	CO	USD	997762888	0	 	 	 	 	Finance		iPhone	iOS	 	 	 
