App Name	App Apple ID	Subscription Name	Subscription Apple ID	Subscription Group ID	Subscription Duration	Customer Price	Customer Currency	Developer Proceeds	Proceeds Currency	Preserved Pricing	Proceeds Reason	Client	Device	State	Country	Active Subscriptions	Active Free Trials	Marketing Opt-Ins
Invest: buy stocks in great businesses	973162352	Premium_200_30	1147092422	20344069	1 Month	6.99	USD	4.9	USD				iPhone	TN	USA	3	0	0
Invest: buy stocks in great businesses	973162352	Premium_200_30_active	1147092422	20344069	1 Month	5.68	EUR	3.98	EUR				iPhone		IRL	1	0	0
Invest: buy stocks in great businesses	973162352	Premium_200_30_active	1147092422	20344069	1 Month	6.99	USD	4.9	USD				iPhone	NJ	USA	1	0	0
Invest: buy stocks in great businesses	973162352	Premium_600_365	1147092437	20344069	1 Year	69.99	USD	49	USD				iPhone	UT	USA	1	0	0
Invest: buy stocks in great businesses	973162352	Premium_200_30	1147092422	20344069	1 Month	6.99	USD	4.9	USD				iPhone	CA	USA	26	0	0
Invest: buy stocks in great businesses	973162352	Premium_200_30	1147092422	20344069	1 Month	6.99	USD	4.9	USD				iPhone	VT	USA	1	0	0
Invest: buy stocks in great businesses	973162352	Premium_200_30	1147092422	20344069	1 Month	9.98	SGD	6.99	SGD				iPhone		SGP	1	0	0
Invest: buy stocks in great businesses	973162352	Premium_600_365	1147092437	20344069	1 Year	69.99	USD	49	USD				iPhone	WA	USA	1	0	0
Invest: buy stocks in great businesses	973162352	Premium_600_365	1147092437	20344069	1 Year	69.99	USD	49	USD				iPhone	KS	USA	1	0	0
Invest: buy stocks in great businesses	973162352	Premium_200_30	1147092422	20344069	1 Month	6.99	USD	4.9	USD				iPhone	OH	USA	2	0	0
Invest: buy stocks in great businesses	973162352	Premium_600_365	1147092437	20344069	1 Year	99.99	CAD	69.99	CAD				iPhone	ON	CAN	3	0	0
Invest: buy stocks in great businesses	973162352	Premium_200_30	1147092422	20344069	1 Month	6.99	USD	4.9	USD				iPhone	MA	USA	3	0	0
Invest: buy stocks in great businesses	973162352	Premium_600_365	1147092437	20344069	1 Year	69.99	USD	49	USD				iPhone	SC	USA	1	0	0
